Location Name,Venue,Location Link,Contact Number
Misrial-Road-Cantt,"Dewan-e-Khas Marriage Hall, near Misrial Road, Rawalpindi Cantt",https://maps.app.goo.gl/1iERmCkWCojMCfYJ6,3005077164
Tench-Bhata,"Al-Huda Masjid, Street No. 24-A, Peoples Colony, Tench Bhata, Rawalpindi",https://maps.app.goo.gl/WeaXVroL6knF4E1b8,3335151916
Shadman-Town,"Al-Buraq Marquee, Bani Stop, Khayaban-e-Shifa, Shadman Town, Chakri Road, Rawalpindi",https://maps.app.goo.gl/Nhk7fta6RWyj3RPW7,3185349518
Morgah,"The Venue Marquee, Kotha Kalan, Morgah, Rawalpindi",https://maps.app.goo.gl/qGscXQyXbwj1MQ7y7,3215159579
DHA2,"Avalon Marquee, G.T. Road, Opposite DHA 2 (Gate No. 3), Rawalpindi",https://maps.app.goo.gl/jpNRWMDiK96ku1FXA,3215852714
Gulraiz,"Revelation Marquee*, High Court Road, Gulraiz Gate 2, Rawalpindi",https://maps.app.goo.gl/ALbothbcbgAfLbYY8,3458507198
Bahria-Phase-7,"Majesty Marquee, Bahria Phase 7, near Allah Chowk, Bahria Town",https://maps.app.goo.gl/rZjD3WLrdC6W4kU2A,3344221060
Rawal-Road,"Capri Marquee, Rawal Road, Rawalpindi",https://maps.app.goo.gl/8stAPKNGmvfGS6YP8,3005158417
Gulzar-e-Quaid,"Jamia Masjid Haramain Sharifain, Gulzar-e-Quaid, Rawalpindi",https://maps.app.goo.gl/SNCkgvT6tLeGnNgA6,3465070646
Dhoke-Hafiz,"Mir Jan Shadi Hall, Dhoke Hafiz, Old Airport Road, Rawalpindi",https://maps.app.goo.gl/H1FW8Ag71DSwiab9A,3333004729
AECHS-Sector4,"Kashmir Plaza, Sector 4, Airport Housing Society (AECHS), Rawalpindi",https://maps.app.goo.gl/nEhycXVh8QZAAp5DA,3005585435
Haidri-Chowk,"Royal Mansion, Saidpur Road, Haidri Chowk, Rawalpindi",https://maps.app.goo.gl/6F3GfxLaWJbZs8MA7,3008550773
Khanna-Road,"Raj Wedding Hall, Khanna Road, Rawalpindi",https://maps.app.goo.gl/wGDNHQbT3omkUE9s9,3335758239
New-City-Wah,"Royal Palace Banquet Hall, New City, G.T. Road, Wah Cantt",https://maps.app.goo.gl/sQvzhCtkdBKK3jDg9,3455612409
